Gene	log2FoldChange	pvalue	padj
hsa-miR-331-3p	-1.317914513	0.067729592	0.132866664
hsa-miR-183-5p	1.407039874	0.069222546	0.13514878
hsa-miR-542-3p	-1.472163138	0.070446183	0.136885948
hsa-miR-664a-5p	-1.391406858	0.071456931	0.138195009
hsa-miR-200a-5p	1.317660815	0.082953141	0.159675061
hsa-miR-34b-5p	1.317714189	0.08370983	0.160378646
hsa-miR-1185-1-3p	-1.600337621	0.088184277	0.168165365
hsa-miR-200b-3p	1.229547925	0.09023864	0.171286308
hsa-miR-23b-3p	-0.985711146	0.095812392	0.181028022
hsa-miR-450b-5p	-1.210788384	0.098574847	0.185393061
hsa-miR-376c-5p	-1.368829021	0.104758791	0.196123765
hsa-miR-148b-3p	0.960258891	0.108954928	0.202838957
hsa-miR-3960	-1.391545573	0.109335145	0.202838957
hsa-miR-1307-5p	1.113667178	0.11018622	0.203484223
hsa-miR-378a-5p	-1.115880014	0.110939342	0.203484223
hsa-miR-452-5p	1.324530437	0.111294452	0.203484223
hsa-miR-197-3p	-0.970958476	0.111668171	0.203484223
hsa-miR-493-5p	-1.47480366	0.114127418	0.206607387
hsa-miR-744-5p	-1.05449193	0.114389943	0.206607387
hsa-miR-148b-5p	1.365991352	0.115800159	0.208105186
hsa-miR-9-3p	1.393956303	0.11623436	0.208105186
hsa-miR-766-3p	-1.266047824	0.1167935	0.208197109
hsa-miR-1248	-1.087099911	0.120550093	0.213823996
hsa-let-7d-3p	-1.13392881	0.12099309	0.213823996
hsa-miR-361-3p	-0.871416264	0.125920092	0.221576127
hsa-miR-376b-5p	-1.280675218	0.128383283	0.224945069
hsa-miR-148a-5p	-1.318449522	0.130863683	0.227887727
hsa-miR-629-5p	1.12001815	0.131174399	0.227887727
hsa-miR-342-3p	-0.804803221	0.136509428	0.236155551
hsa-miR-3613-5p	1.331695938	0.144554238	0.249022007
hsa-miR-103a-3p	0.814530515	0.154393816	0.264859684
hsa-miR-7977	-1.275670665	0.15597091	0.266450304
hsa-miR-23a-5p	-1.365294996	0.158684773	0.269961648
hsa-miR-877-3p	-1.507779273	0.160986346	0.271763915
hsa-miR-7704	-1.487988473	0.161069832	0.271763915
hsa-miR-181c-3p	-1.054942734	0.162071314	0.272332945
hsa-miR-130b-5p	1.107557924	0.164306664	0.274962172
hsa-miR-34a-5p	-0.843783699	0.165218799	0.275364665
hsa-miR-378i	-1.174021838	0.166330665	0.276095437
hsa-miR-26b-5p	-0.903736058	0.171492635	0.28351605
hsa-miR-664a-3p	-0.723636554	0.172253498	0.283630258
hsa-miR-92a-3p	0.807455158	0.175009851	0.286752122
hsa-miR-30d-5p	-0.619034996	0.17554825	0.286752122
hsa-miR-152-3p	-0.945413396	0.177246786	0.288377708
hsa-miR-23b-5p	-0.977692799	0.178616162	0.288706901
hsa-miR-191-5p	-0.74237547	0.178857446	0.288706901
hsa-miR-505-3p	-0.680851782	0.180296023	0.289887723
hsa-miR-374b-5p	-0.788084639	0.183969637	0.294638872
hsa-miR-326	-1.082481011	0.185457437	0.29586595
hsa-miR-193b-5p	-1.071840766	0.187558135	0.296437876
hsa-miR-130b-3p	0.828673747	0.187664106	0.296437876
hsa-miR-362-3p	0.976103623	0.187984994	0.296437876
hsa-miR-196b-3p	-1.075612119	0.190343118	0.298515604
hsa-miR-29b-1-5p	-0.998505514	0.190924831	0.298515604
hsa-miR-769-5p	-0.922266479	0.191537544	0.298515604
hsa-miR-26b-3p	-0.843205859	0.192620185	0.298515604
hsa-miR-1277-5p	1.201426151	0.193218355	0.298515604
hsa-miR-33a-5p	0.87739759	0.193671099	0.298515604
hsa-miR-1287-5p	-1.019028243	0.194641219	0.298887265
hsa-miR-4284	-1.181933861	0.199394362	0.305043613
hsa-miR-505-5p	-0.91342211	0.20724208	0.315870828
hsa-miR-4532	-1.067270206	0.209781048	0.318556406
